TABLE 50. PERSONS NATURALIZED BY SELECTED COUNTRY OF BIRTH,,,,,,,,,,,,,,,,,,,,,,,
AND STATE OF RESIDENCE: FISCAL YEAR 1998,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,"China,",,,,,,,,,,,,,,,,,,,,,
State of residence,All countries,People's,Colombia,Cuba,Dominican,El,Haiti,India,Iran,Jamaica,Korea,Laos,Mexico,Philippines,Poland,Russia,Ukraine,United,Vietnam,Other,,,
,,Republic,,,Republic,Salvador,,,,,,,,,,,,Kingdom,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Total,"463,060","16,145","7,024","15,331","11,916","12,267","10,416","17,060","10,739","15,040","10,305","7,734","112,442","24,872","5,911","5,981","6,952","6,375","30,185","136,365",,,
Alabama,658,21,8,1,3,6,1,79,18,13,46,7,53,23,6,4,1,25,88,255,,,
Alaska,995,19,11,3,41,10,-,16,4,6,93,31,117,295,14,21,3,26,36,249,,,
Arizona,"4,105",65,20,7,5,44,5,77,45,6,48,9,"2,823",105,18,21,9,62,112,624,,,
Arkansas,244,8,-,-,-,5,-,18,6,2,2,6,89,17,1,2,2,8,24,54,,,
California,"154,793","7,188",616,811,34,"7,136",47,"2,989","6,807",210,"3,449","2,897","59,346","11,021",269,"1,162","1,372","1,406","12,744","35,289",,,
Colorado,"3,230",59,14,8,3,35,2,61,64,7,105,134,"1,256",76,43,132,40,67,333,791,,,
Connecticut,"7,351",203,266,57,153,49,292,390,63,"1,220",45,114,89,167,634,212,134,225,239,"2,799",,,
Delaware,648,33,7,4,15,4,22,79,17,54,13,4,50,29,9,13,12,29,10,244,,,
District of Columbia,"1,024",41,18,5,40,131,24,11,14,89,2,1,25,28,5,2,2,20,36,530,,,
Florida,"30,926",121,"1,650","11,836",807,213,"3,245",324,119,"2,807",71,25,678,369,94,71,56,374,316,"7,750",,,
Georgia,"6,274",159,142,69,21,82,63,604,177,421,337,97,814,149,25,85,53,169,572,"2,235",,,
Hawaii,"4,493",299,5,2,6,10,3,11,16,9,362,78,91,"2,083",9,2,1,33,419,"1,054",,,
Idaho,853,9,7,1,-,12,-,9,10,2,7,12,502,25,6,1,4,18,29,199,,,
Illinois,"16,804",321,157,105,25,110,75,"1,348",124,123,492,76,"6,440",603,"1,795",232,487,120,294,"3,877",,,
Indiana,"2,404",80,14,13,5,12,2,203,50,19,49,18,713,90,37,-,2,79,164,854,,,
Iowa,191,1,-,1,-,2,-,20,3,3,1,19,30,8,1,1,4,3,57,37,,,
Kansas,"2,208",47,11,2,2,19,5,114,46,4,50,112,834,43,6,26,59,28,340,460,,,
Kentucky,586,23,6,-,3,4,2,52,26,15,24,9,53,38,4,20,15,15,94,183,,,
Louisiana,"2,478",87,33,88,12,47,4,143,37,21,18,36,88,89,2,12,3,84,656,"1,018",,,
Maine,544,28,2,1,2,1,3,7,5,10,7,6,20,26,13,10,7,34,68,294,,,
Maryland,"9,615",463,111,44,90,508,119,667,413,699,490,22,144,367,67,445,314,175,516,"3,961",,,
Massachusetts,"10,568",492,139,40,634,117,"1,125",297,106,447,63,37,49,99,177,332,158,204,759,"5,293",,,
Michigan,"7,100",236,21,31,16,15,11,574,89,80,89,253,748,199,239,118,79,147,353,"3,802",,,
Minnesota,"4,331",120,24,12,7,26,3,168,61,13,51,959,288,87,28,157,162,62,626,"1,477",,,
Mississippi,378,9,4,2,2,3,3,62,3,5,5,2,36,25,2,1,-,18,98,98,,,
Missouri,"2,156",88,7,12,6,24,8,133,57,35,48,26,273,123,13,31,11,55,377,829,,,
Montana,165,5,1,-,-,-,-,1,1,-,4,20,28,12,-,-,3,9,3,78,,,
Nebraska,717,2,-,1,-,6,-,7,3,-,1,6,101,507,1,2,1,-,48,31,,,
Nevada,"4,414",105,33,157,1,75,9,58,47,12,43,29,"2,283",397,7,1,3,54,117,983,,,
New Hampshire,645,26,17,2,17,5,9,50,9,4,19,15,8,23,11,17,1,47,47,318,,,
New Jersey,"21,301",420,"1,116",804,"1,409",392,"1,283","2,010",131,"1,391",495,8,294,"1,354",705,291,288,306,332,"8,272",,,
New Mexico,649,10,6,3,-,5,1,17,6,2,4,4,412,14,3,5,-,9,46,102,,,
