Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,U.S. dependencies,Unknown
REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"604,280",795,951,"6,785",990,"170,489","5,681","8,169",945,939,"42,999","7,903","4,663","1,097","27,739","2,650",234,"1,814","1,820","1,700",772,"11,503","22,685","11,418","7,383",520,"2,733",209,"1,365","5,901",971,"33,160","1,401","84,624","5,862",203,"9,415","1,799","4,777","13,307","2,604",916,354,"3,578","38,553","2,874",488,"17,653","14,817",362,"4,040",134,"2,803","6,733"
Africa,"38,830",61,19,333,34,"4,456",608,473,95,237,"1,216","1,173",50,21,"1,279",220,10,131,129,114,130,"2,319","2,483",687,"2,532",34,286,7,128,242,61,"2,359",42,"3,893",732,24,"1,906",131,212,"1,250",465,88,80,583,"2,941",108,17,"2,569","1,102",D,242,D,23,465
Asia,"237,724",405,503,"1,648",411,"87,978","1,767","2,180",421,192,"5,645","3,141","3,838",208,"10,044",970,101,875,627,790,254,"4,582","7,278","5,828","2,931",268,"1,081",50,511,"2,295",297,"11,623",369,"24,957","2,343",57,"3,757",879,"2,065","5,867",455,373,73,"1,650","14,576",871,113,"8,422","7,359",180,"1,810",36,741,"2,029"
Europe,"97,482",132,163,"1,369",117,"15,318","1,400","2,377",114,146,"4,995","1,265",199,450,"9,391",596,11,191,583,172,209,"1,403","5,323","3,470","1,076",64,877,50,172,722,303,"5,598",179,"16,928",905,64,"2,599",178,"1,333","3,479",490,171,151,602,"2,912",674,251,"2,080","3,709",63,979,25,111,"1,343"
North America,"180,572",154,190,"3,188",375,"55,496","1,584","1,987",263,270,"23,251","1,744",261,361,"6,049",732,109,520,367,522,147,"2,275","5,921","1,186",578,120,395,81,504,"2,349",225,"7,708",747,"26,953","1,406",48,744,479,949,"2,002",937,182,42,553,"16,147",769,88,"2,624","2,059",59,851,58,"1,665","2,298"
Oceania,"3,898",4,32,36,9,"1,921",58,29,D,6,87,26,203,16,44,12,-,11,6,5,6,42,60,30,27,D,13,7,6,43,7,36,14,128,30,4,33,9,89,34,13,4,D,14,239,104,7,79,244,D,14,6,5,40
South America,"44,504",39,42,205,39,"5,116",234,"1,122",D,88,"7,746",541,107,34,782,106,3,70,101,87,26,874,"1,604",178,222,D,73,12,38,239,77,"5,810",48,"11,694",432,6,296,113,116,669,243,95,D,169,"1,609",330,12,"1,837",306,31,119,6,251,420
Unknown,"1,270",-,2,6,5,204,30,1,1,-,59,13,5,7,150,14,-,16,7,10,-,8,16,39,17,2,8,2,6,11,1,26,2,71,14,-,80,10,13,6,1,3,-,7,129,18,-,42,38,-,25,-,7,138
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"604,280",795,951,"6,785",990,"170,489","5,681","8,169",945,939,"42,999","7,903","4,663","1,097","27,739","2,650",234,"1,814","1,820","1,700",772,"11,503","22,685","11,418","7,383",520,"2,733",209,"1,365","5,901",971,"33,160","1,401","84,624","5,862",203,"9,415","1,799","4,777","13,307","2,604",916,354,"3,578","38,553","2,874",488,"17,653","14,817",362,"4,040",134,"2,803","6,733"
Afghanistan,"1,464",D,-,11,-,658,27,8,4,-,11,19,D,D,23,7,-,4,D,-,3,22,10,8,13,-,20,-,6,11,D,54,8,173,10,D,6,D,6,11,D,-,D,4,32,12,-,237,21,3,D,-,-,9
Albania,"3,830",-,5,10,-,51,17,235,D,D,253,10,D,5,260,13,-,-,4,-,D,29,703,573,8,D,38,-,D,16,11,181,6,622,12,-,162,5,8,327,D,7,-,9,71,5,D,61,15,-,49,-,-,37
Algeria,722,D,-,-,-,108,12,8,D,7,17,8,D,D,60,4,-,-,-,7,-,11,87,19,6,D,3,-,-,D,3,39,D,124,12,-,20,D,D,31,D,-,D,D,37,D,D,51,8,-,15,-,D,3
American Samoa,294,-,12,-,D,40,D,-,-,-,D,D,58,-,D,-,-,-,-,D,-,-,-,-,-,-,3,-,-,D,-,-,-,D,D,-,D,D,3,D,-,-,-,-,128,11,-,D,21,-,-,-,D,2
Angola,86,-,-,-,-,9,D,D,-,-,6,-,D,-,D,-,-,-,-,D,-,-,27,D,D,-,-,-,-,D,D,11,-,6,D,-,-,-,-,4,4,-,-,-,D,-,-,5,-,-,-,-,-,-
Antigua-Barbuda,371,D,D,D,-,6,D,9,-,D,46,10,-,-,3,-,-,D,3,-,D,10,11,-,-,D,D,-,-,-,-,26,-,162,-,D,D,-,-,9,D,-,-,D,9,-,-,3,D,-,-,-,41,2
Argentina,"1,976",-,4,18,D,510,26,47,4,11,359,11,7,4,40,5,-,5,5,6,5,22,55,8,6,-,D,D,D,24,5,134,4,269,14,-,21,D,8,40,3,5,D,14,94,33,D,61,18,5,6,-,26,24
