Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"660,477","1,343",849,"12,091","1,214","181,684","7,829","4,552","1,094","1,334","54,563","14,181","4,521","1,261","38,735","3,652","2,093","2,406","2,256","2,240",728,"11,613","20,952","10,678","9,124",657,"4,237",251,"2,188","8,363","1,821","35,235","1,704","73,676","6,606",415,"9,250","1,812","5,572","11,371","2,088","1,499",460,"2,927","53,032",D,"3,216","2,777",468,"14,171","14,671",310,"4,485",D,"6,030"
Africa,"41,652",122,31,567,52,"3,855",784,268,149,375,"1,277","2,191",49,28,"1,534",345,179,181,221,129,180,"2,332","2,677",605,"3,382",50,466,3,285,340,134,"2,222",32,"3,713",781,95,"1,758",145,273,"1,197",376,122,128,585,"3,445",-,23,139,40,"1,934","1,078",29,255,6,485
Asia,"238,797",617,419,"2,733",375,"81,705","2,245","1,458",493,249,"6,134","5,213","3,683",255,"12,833","1,377",586,963,768,"1,098",232,"4,798","6,529","5,905","3,322",345,"1,586",76,665,"2,791",649,"13,873",339,"21,361","2,597",95,"3,820",720,"2,305","5,160",383,574,97,"1,205","17,009",D,"1,109",622,136,"6,825","6,354",157,"1,806",D,"2,101"
Europe,"86,742",179,165,"1,516",94,"13,265","1,420","1,186",113,201,"5,007","1,818",232,329,"10,128",662,571,187,622,213,171,"1,181","3,956","2,687","1,192",74,"1,348",73,212,795,461,"5,105",176,"12,163",945,147,"2,224",148,"1,289","2,427",369,311,143,437,"2,972",-,89,477,198,"1,492","3,724",54,991,39,764
North America,"241,163",326,164,"6,831",631,"76,195","2,959","1,048",267,360,"31,585","3,957",278,593,"12,977","1,094",699,956,499,661,122,"2,399","6,013","1,230",865,140,674,76,952,"4,039",380,"8,187","1,066","25,464","1,756",68,"1,050",703,"1,443","1,979",757,305,78,551,"27,018",-,"1,742","1,094",70,"2,414","2,997",42,"1,229",85,"2,095"
Oceania,"3,342",5,33,63,8,"1,565",50,14,D,14,86,35,183,10,51,11,8,14,11,15,5,28,45,15,25,4,16,10,D,35,12,44,12,118,34,-,20,6,87,33,4,8,D,9,119,-,20,97,6,63,209,3,21,D,50
South America,"48,133",94,37,377,51,"5,041",366,577,D,135,"10,413",940,96,46,"1,128",159,50,104,125,116,18,867,"1,730",216,331,41,145,13,71,361,185,"5,789",74,"10,838",486,10,353,86,175,570,199,172,D,133,"2,293",D,227,347,18,"1,437",306,25,177,11,489
Unknown,648,-,-,4,3,58,5,1,-,-,61,27,-,-,84,4,-,1,10,8,-,8,2,20,7,3,2,-,-,2,-,15,5,19,7,-,25,4,-,5,-,7,-,7,176,-,6,1,-,6,3,-,6,-,46
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
