Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"1,046,539","1,982","1,145","24,055","2,330","297,909","11,972","9,589","1,425","1,492","128,328","20,417",998,"5,205","2,240","45,224","5,104","3,503","4,072","3,093","3,018",924,"23,342","28,728","14,634","9,220",944,"5,849",358,"2,866","13,150","1,617","59,950","3,058","90,572","8,509",336,"11,142","3,335","9,257","19,673","2,622","3,721","3,488",572,"5,560","82,129",565,934,"5,394",518,"29,949","18,665",505,"5,200",245,"5,907"
Africa,"54,420",129,38,790,84,"4,968",989,504,163,379,"2,114","2,787",8,42,43,"1,755",456,276,264,292,135,219,"4,571","3,085",728,"3,077",67,652,10,308,458,124,"3,452",62,"3,844",952,53,"2,129",196,356,"1,899",8,609,241,142,840,"4,107",54,13,218,31,"3,916","1,036",35,284,12,416
Asia,"323,792",934,586,"4,490",732,"109,898","3,208","2,667",600,281,"10,522","7,003",918,"4,286",358,"14,070","1,829","1,043","1,553","1,091","1,368",280,"8,867","8,399","8,234","3,445",501,"2,443",77,874,"4,175",579,"21,870",498,"21,542","2,951",83,"4,685","1,215","3,347","8,478",87,602,"1,305",152,"2,454","21,272",217,79,"1,162",151,"14,218","7,979",248,"2,133",50,"1,703"
Europe,"115,187",266,192,"2,220",147,"17,573","2,077","2,260",148,159,"8,352","2,379",15,229,436,"11,778",817,806,310,805,199,221,"2,260","5,283","3,357","1,186",85,"1,506",110,299,"1,070",423,"8,338",206,"13,439","1,058",120,"2,523",285,"2,059","3,941",83,682,609,151,656,"3,768",74,19,770,207,"2,788","4,673",76,999,35,660
North America,"462,372",525,235,"15,777","1,283","155,006","5,032","2,586",413,509,"82,363","6,491",30,313,"1,316","16,018","1,752","1,274","1,721",735,"1,123",160,"5,639","9,251","1,929","1,117",219,"1,016",132,"1,284","6,897",333,"15,399","2,159","37,104","2,686",61,"1,307","1,440","3,175","4,132","2,050","1,411",886,112,"1,243","49,084",152,807,"2,348",102,"5,667","4,317",97,"1,528",128,"2,498"
Oceania,"4,781",8,37,89,5,"2,192",148,23,4,7,134,45,19,209,17,71,27,10,22,14,13,5,50,70,46,32,8,33,11,5,63,9,67,14,162,50,D,41,12,104,46,-,5,16,4,26,201,12,D,206,D,91,226,3,26,5,33
South America,"84,853",116,56,668,76,"8,158",516,"1,545",97,156,"24,583","1,679",8,122,70,"1,462",219,93,197,145,171,39,"1,940","2,635",309,360,61,191,18,94,483,148,"10,805",114,"14,459",797,D,424,169,211,"1,171",391,411,415,11,312,"3,446",56,D,686,23,"3,253",426,46,224,15,544
Unknown,"1,134",4,1,21,3,114,2,4,-,1,260,33,-,4,-,70,4,1,5,11,9,-,15,5,31,3,3,8,-,2,4,1,19,5,22,15,-,33,18,5,6,3,1,16,-,29,251,-,4,4,1,16,8,-,6,-,53
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"1,046,539","1,982","1,145","24,055","2,330","297,909","11,972","9,589","1,425","1,492","128,328","20,417",998,"5,205","2,240","45,224","5,104","3,503","4,072","3,093","3,018",924,"23,342","28,728","14,634","9,220",944,"5,849",358,"2,866","13,150","1,617","59,950","3,058","90,572","8,509",336,"11,142","3,335","9,257","19,673","2,622","3,721","3,488",572,"5,560","82,129",565,934,"5,394",518,"29,949","18,665",505,"5,200",245,"5,907"
Afghanistan,"2,650",3,-,102,D,"1,021",39,15,14,D,36,53,-,-,22,42,25,7,6,9,10,7,36,39,19,5,-,76,-,18,25,7,86,18,169,10,3,17,-,23,37,-,3,D,6,24,114,-,-,24,D,409,32,-,6,D,26
Albania,"2,972",6,-,27,-,63,8,140,D,5,247,4,-,-,D,183,7,-,6,3,-,4,30,426,444,4,-,48,D,D,20,5,168,D,483,14,D,100,8,4,263,-,-,17,-,8,61,-,-,6,3,57,19,-,46,-,25
Algeria,894,D,-,11,D,138,19,7,-,-,44,8,-,D,-,59,15,6,3,D,6,-,29,90,12,15,D,3,-,-,7,6,78,D,89,13,-,28,3,5,62,D,3,D,-,5,38,-,-,3,-,54,10,-,8,-,5
American Samoa,178,-,8,D,-,45,D,-,-,-,-,-,-,49,-,-,-,-,D,-,D,-,D,-,-,-,D,D,-,-,D,-,D,-,3,5,-,-,-,4,-,-,-,-,-,-,5,D,D,13,-,5,24,-,-,-,3
Andorra,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Angola,161,-,D,-,-,19,-,9,-,-,15,D,-,-,-,D,D,-,-,-,-,-,3,46,-,-,-,-,-,-,3,-,22,-,5,-,-,D,-,D,5,-,16,-,-,D,5,-,-,-,-,4,-,-,-,-,-
Anguilla,47,-,-,-,-,3,-,-,-,-,9,D,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,D,-,-,-,8,-,-,-,-,-,D,-,-,-,-,-,D,-,16,-,-,3,-,-,-,-,-
Antigua-Barbuda,661,4,D,D,-,18,D,8,D,D,118,38,-,-,-,D,-,-,-,D,D,-,20,16,D,3,D,-,-,-,D,-,52,-,233,9,-,6,D,-,13,D,-,4,-,D,23,D,54,-,-,10,D,D,D,-,10
Argentina,"4,170",6,4,47,D,915,30,47,6,9,"1,436",59,-,15,4,58,14,7,11,8,4,D,77,78,32,15,D,13,D,5,52,7,239,6,303,22,-,18,D,15,52,37,3,19,D,17,230,3,-,67,D,102,24,3,12,D,30
Armenia,"2,195",D,-,13,D,"1,829",12,7,-,-,15,-,-,-,-,5,D,D,D,D,D,-,14,52,13,D,-,D,D,-,42,-,36,D,59,-,-,6,-,9,11,-,9,-,-,D,10,-,-,3,-,12,16,-,6,-,2
Aruba,55,D,-,-,-,D,-,D,-,-,15,4,-,-,-,-,-,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,D,-,15,-,-,-,-,-,-,D,-,-,-,-,7,-,4,-,-,D,D,-,-,-,-
Australia,"1,636",D,6,36,4,431,91,18,D,4,89,25,-,33,11,39,19,8,10,8,9,4,34,51,32,22,4,18,6,4,25,6,46,12,126,22,D,28,7,28,29,-,3,13,D,18,110,4,-,27,D,52,35,3,7,3,9
Austria,357,-,D,13,-,77,17,3,D,-,38,6,-,7,-,10,D,D,-,3,D,D,7,9,6,4,D,3,-,-,15,D,12,5,32,6,-,6,-,5,7,-,4,3,D,D,15,-,D,D,D,13,4,D,3,D,3
Azerbaijan,834,D,D,9,-,198,8,7,D,-,28,10,-,-,D,31,D,-,3,3,D,D,29,16,23,3,D,14,D,D,D,D,32,-,220,4,-,22,3,8,26,-,D,-,D,D,33,-,-,8,-,7,59,-,7,-,4
Bahamas,838,5,D,3,D,20,-,D,D,D,583,57,-,D,-,6,D,-,-,3,D,-,10,D,7,D,D,3,-,-,3,-,26,-,23,9,-,4,4,D,9,-,D,D,-,5,18,-,-,D,-,14,-,-,-,-,3
Bahrain,85,D,-,-,D,19,-,-,-,-,D,D,-,-,-,5,-,-,-,-,-,-,5,D,D,D,-,D,-,-,-,-,7,-,8,D,D,D,-,D,5,-,-,D,-,-,13,-,-,-,-,6,D,-,-,-,-
Bangladesh,"5,345",13,D,65,9,417,15,86,7,9,310,174,-,D,4,77,20,20,32,14,4,-,176,99,313,66,6,27,-,D,24,5,484,3,"1,734",25,D,33,33,17,172,-,3,7,D,30,386,D,D,D,-,350,22,3,9,-,29
Barbados,"1,203",D,-,D,D,20,7,25,4,D,139,38,-,-,-,18,6,-,D,D,D,-,34,116,5,3,-,D,-,D,D,D,68,D,585,10,D,D,D,D,45,-,D,D,-,5,25,D,5,-,-,10,3,-,D,-,4
Belarus,"1,767",-,4,10,3,293,50,27,4,D,66,29,D,-,8,123,11,5,3,13,-,-,41,67,19,59,4,11,6,6,5,3,99,D,363,25,D,44,8,25,99,D,3,14,3,6,22,D,-,3,D,43,102,-,19,-,11
Belgium,716,3,-,15,3,148,18,13,5,D,77,33,D,D,D,26,D,D,-,D,3,D,21,29,20,11,-,15,-,-,7,D,31,D,69,6,-,19,4,11,22,-,3,10,D,D,34,4,-,D,D,19,10,D,-,-,4
Belize,"1,291",D,-,9,-,569,6,D,D,D,134,18,D,D,D,96,3,-,3,4,4,D,17,11,4,3,D,6,-,-,19,-,28,D,177,9,-,4,5,4,8,D,D,D,-,9,93,3,D,4,-,12,4,-,3,-,6
Benin,79,-,-,3,-,4,D,-,-,-,4,-,-,-,-,6,D,D,-,D,D,-,17,D,5,-,-,-,-,D,-,-,3,-,9,D,-,D,-,D,6,-,-,-,-,D,4,-,D,-,-,4,-,-,-,-,-
Bermuda,75,-,-,-,-,5,D,D,-,D,15,5,-,-,-,D,-,D,-,-,-,-,D,10,D,-,-,-,-,-,-,-,10,-,4,D,-,-,-,-,D,-,D,3,-,D,3,-,-,-,-,3,-,-,-,-,1
Bhutan,9,-,-,-,-,-,D,D,-,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-
Bolivia,"2,807",3,7,17,3,351,24,12,-,22,376,23,D,D,D,40,4,4,4,6,3,D,203,44,6,6,4,4,-,4,12,8,106,5,158,7,-,10,4,4,14,5,38,4,-,9,122,D,-,24,-,"1,040",11,5,11,D,31
Bosnia-Herzegovina,"8,176",19,D,406,-,311,128,81,D,4,570,375,-,3,159,566,146,545,27,364,16,24,58,113,381,121,4,682,D,66,122,80,110,4,485,94,75,302,D,101,228,-,9,5,51,97,247,3,-,251,83,199,218,-,149,-,86
Botswana,18,-,-,-,-,D,D,D,-,D,D,D,-,-,-,D,-,-,-,D,-,-,D,D,D,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,D,-,-,D,-,-,-,-,-
Brazil,"8,808",14,5,82,11,"1,146",77,191,11,15,"2,356",203,D,34,4,141,34,13,23,20,18,12,178,"1,295",74,36,8,24,5,11,67,55,772,10,527,86,D,57,24,35,96,10,44,49,4,54,427,4,D,114,6,162,68,9,32,D,49
British Virgin Islands,67,-,-,-,-,3,-,-,-,-,11,4,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,7,-,14,D,-,-,-,D,D,-,-,-,-,-,D,-,16,-,-,D,-,-,-,-,2
Brunei,25,-,-,-,-,9,D,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,3,D,-,-,-,-,-,-,-,D,-,D,-,-,-,-,D,D,-,-,-,-,-,D,-,-,-,-,-,D,-,D,-,-
Bulgaria,"3,213",3,3,63,6,407,72,28,9,9,290,170,-,7,8,602,30,11,9,32,7,13,77,118,95,32,-,71,D,D,130,7,134,8,193,15,D,42,5,18,93,-,4,34,4,19,98,-,-,15,-,103,70,3,29,D,12
Burkina Faso,48,-,-,-,-,D,D,-,-,-,D,D,-,-,-,D,-,D,-,D,D,-,4,D,D,D,-,-,-,-,D,D,7,D,5,D,-,D,-,D,4,-,-,-,-,-,D,-,-,-,-,D,-,-,-,-,1
Burma,"1,383",D,3,9,-,588,10,D,-,-,48,18,-,12,-,31,72,D,4,4,-,D,80,21,10,17,D,3,D,3,9,D,20,D,167,16,D,16,7,12,25,-,3,3,D,D,53,D,D,-,-,65,17,D,8,-,10
Burundi,76,-,-,4,D,4,D,3,-,-,4,D,-,-,-,-,D,5,-,-,D,-,D,3,3,D,-,-,-,D,-,D,3,-,8,-,-,-,-,3,D,-,-,-,D,3,11,D,-,-,-,8,-,-,-,-,1
Cambodia,"5,869",26,4,66,D,"2,041",65,49,3,D,127,149,-,9,5,69,13,28,19,35,5,34,58,938,50,155,3,19,-,D,18,13,35,D,102,57,-,115,5,83,368,-,154,43,D,35,310,-,-,39,D,177,299,-,17,-,21
Cameroon,967,8,-,7,5,70,10,4,8,15,15,92,-,-,-,29,7,D,9,12,3,D,284,42,23,27,D,9,-,5,6,D,28,D,29,11,-,29,7,D,24,-,-,6,-,3,68,D,-,D,-,37,5,D,8,-,10
