Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total," 843,593 "," 2,982 "," 1,144 "," 14,277 "," 2,327 "," 148,765 "," 10,840 "," 8,460 "," 1,547 "," 2,090 "," 96,149 "," 25,858 ", 578 ," 4,110 "," 1,660 "," 30,472 "," 7,386 "," 4,984 "," 3,875 "," 4,723 "," 3,130 "," 1,076 "," 19,349 "," 22,894 "," 16,464 "," 14,092 "," 1,138 "," 5,501 ", 361 ," 3,662 "," 9,046 "," 1,585 "," 36,661 "," 3,363 "," 85,444 "," 17,314 ", 719 ," 14,004 "," 3,790 "," 6,715 "," 21,014 "," 1,127 "," 2,312 "," 3,995 ", 780 ," 6,720 "," 97,675 ", 367 , 797 ," 5,365 ", 614 ," 23,345 "," 18,510 ", 492 ," 5,692 ", 330 ," 15,923 "
Africa," 84,990 ", 322 , 88 ," 1,034 ", 134 ," 5,149 "," 1,695 ", 687 , 340 , 703 ," 2,642 "," 4,147 ", - , 52 , 178 ," 2,222 "," 1,112 "," 1,260 ", 636 , 958 , 225 , 251 ," 5,654 "," 3,641 "," 1,150 "," 5,813 ", 80 , 916 , 21 , 754 , 546 , 193 ," 3,655 ", 105 ," 6,340 "," 2,423 ", 332 ," 3,539 ", 415 , 504 ," 3,138 ", 5 , 511 , 313 , 241 ," 1,463 "," 9,630 ", 42 , 4 , 417 , 87 ," 4,108 "," 2,218 ", 63 , 678 , 23 ," 2,133 "
Asia," 327,273 "," 1,433 ", 605 ," 4,469 ", 909 ," 74,498 "," 3,708 "," 2,478 ", 592 , 407 ," 11,041 "," 10,219 ", 567 ," 3,370 ", 582 ," 13,211 "," 3,848 "," 2,243 "," 1,674 "," 2,199 "," 1,378 ", 426 ," 7,180 "," 7,877 "," 10,885 "," 5,427 ", 566 ," 2,599 ", 112 ," 1,793 "," 3,686 ", 672 ," 14,149 ", 670 ," 31,683 "," 7,226 ", 250 ," 7,418 "," 1,627 "," 2,781 "," 9,483 ", 41 , 415 ," 1,486 ", 390 ," 2,819 "," 34,709 ", 175 , 209 ," 1,627 ", 302 ," 11,481 "," 9,039 ", 219 ," 2,645 ", 105 ," 5,670 "
Europe," 81,040 ", 309 , 177 ," 1,114 ", 166 ," 10,418 "," 1,523 "," 1,568 ", 122 , 299 ," 7,790 "," 2,271 ", - , 227 , 179 ," 7,032 ", 619 , 400 , 204 , 355 , 281 , 191 ," 1,335 "," 3,249 "," 2,218 ", 866 , 89 , 760 , 101 , 142 , 754 , 280 ," 4,046 ", 184 ," 10,080 "," 1,779 ", 41 ," 1,289 ", 247 ," 1,032 "," 2,991 ", 46 , 251 , 778 , 62 , 608 ," 4,534 ", 65 , 18 , 427 , 127 ," 1,892 "," 3,158 ", 77 , 764 , 51 ," 1,454 "
North America," 276,910 ", 705 , 190 ," 7,146 "," 1,015 "," 52,828 "," 3,184 "," 2,307 ", 381 , 464 ," 54,603 "," 6,898 ", 4 , 196 , 659 ," 6,813 "," 1,546 ", 933 ," 1,206 "," 1,037 "," 1,000 ", 156 ," 3,886 "," 5,823 "," 1,795 "," 1,445 ", 331 , 968 , 86 , 880 ," 3,584 ", 262 ," 8,877 "," 2,285 "," 26,344 "," 4,396 ", 85 ," 1,251 "," 1,289 "," 2,091 "," 4,230 ", 830 , 904 , 948 , 73 ," 1,432 "," 43,257 ", 59 , 549 ," 1,815 ", 73 ," 3,760 "," 3,298 ", 87 ," 1,323 ", 131 ," 5,192 "
Oceania," 4,308 ", 24 , 53 , 84 , 17 ," 1,348 ", 113 , 32 , 3 , 14 , 168 , 81 , D , 170 , 14 , 79 , 16 , 21 , 13 , 17 , 18 , 13 , 55 , 62 , 51 , 35 , 5 , 38 , 9 , 10 , 62 , 14 , 57 , 15 , 246 , 91 , D , 49 , 13 , 80 , 58 , D , 7 , 20 , - , 41 , 291 , D , 5 , 191 , 4 , 75 , 277 , D , 32 , 3 , 102 
South America," 68,678 ", 187 , 31 , 425 , 84 ," 4,482 ", 614 ," 1,388 ", 108 , 202 ," 19,863 "," 2,235 ", D , 92 , 48 ," 1,091 ", 242 , 126 , 139 , 153 , 218 , 39 ," 1,227 "," 2,236 ", 358 , 502 , 67 , 215 , 32 , 81 , 413 , 163 ," 5,858 ", 101 ," 10,729 "," 1,390 ", D , 451 , 199 , 225 ," 1,106 ", D , 224 , 448 , 14 , 352 ," 5,219 ", D , 12 , 885 , 21 ," 2,017 ", 519 , D , 248 , 17 ," 1,299 "
Unknown, 394 , 2 , - , 5 , 2 , 42 , 3 , - , 1 , 1 , 42 , 7 , - , 3 , - , 24 , 3 , 1 , 3 , 4 , 10 , - , 12 , 6 , 7 , 4 , - , 5 , - , 2 , 1 , 1 , 19 , 3 , 22 , 9 , - , 7 , - , 2 , 8 , - , - , 2 , - , 5 , 35 , - , - , 3 , - , 12 , 1 , - , 2 , - , 73 
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
