TABLE 50.  PERSONS NATURALIZED BY SELECTED COUNTRY OF FORMER ALLEGIANCE,,,,,,,,,,,,,,,,,,,,
AND STATE OF RESIDENCE,,,,,,,,,,,,,,,,,,,,
FISCAL YEAR 1996,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,All ,"China,",Colombia,Cuba,Dominican,Ecuador,El Salvador,Guatemala,Haiti,India,Iran,Jamaica,Korea,Mexico,Philippines,Poland,Soviet,United ,Vietnam,Other
State of residence,countries,Peoples,,,Republic,,,,,,,,,,,,"Union,",Kingdom,,
,,Republic,,,,,,,,,,,,,,,former,,,
,,,,,,,,,,,,,,,,,,,,
Total,"1,044,689","30,656","26,115","62,168","27,293","14,206","33,240","13,383","24,556","28,932","17,326","24,270","24,693","217,418","45,210","13,200"," 36,265 ","20,052","47,625"," 338,081 "
Alabama,"1,002",19,14,11,2,5,6,4,2,75,28,14,82,42,51,2, 22 ,51,131,441
Alaska,4,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,2,-,-
Arizona,"6,838",105,84,12,6,20,107,85,6,142,121,8,75,"3,877",217,67,72,211,193,"1,430"
Arkansas,6,-,-,-,-,-,1,1,-,-,-,-,-,1,-,-,-,1,1,1
California,"378,014","14,570","2,367","3,119",150,"1,819","21,369","7,844",113,"7,835","11,844",450,"11,699","151,959","27,235",812,"9,478","8,344","29,584","67,423"
Colorado,"5,168",181,48,11,14,9,55,42,10,152,113,13,252,"1,764",155,89,290,154,462,"1,354"
Connecticut,"8,122",144,397,125,161,152,65,74,460,388,81,813,115,98,167,708,400,343,275,"3,156"
Delaware,650,25,10,7,14,5,2,3,29,91,7,35,26,25,43,10,16,54,16,232
District of Columbia,"1,920",52,38,9,67,33,348,44,26,25,34,90,16,20,45,1,21,38,59,954
Florida,"123,368",528,"8,952","52,753","3,224","1,836","1,098",977,"10,036",988,538,"7,151",272,"2,283","1,153",328,478,"1,649","1,097","28,027"
Georgia,"6,603",126,219,93,38,22,71,31,46,448,141,224,471,484,187,24,244,205,734,"2,795"
Hawaii,"6,090",456,15,5,4,6,14,3,3,19,21,19,579,118,"2,940",8,19,251,517,"1,093"
Idaho,2,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-
Illinois,"48,746",857,551,306,95,588,438,"1,156",173,"2,921",320,251,"1,092","21,024","1,933","5,363","2,627",574,661,"7,816"
Indiana,678,10,4,6,2,-,3,5,2,51,1,1,12,315,19,29,29,15,17,157
Iowa,5,-,-,-,-,-,1,-,-,1,-,-,-,1,-,-,-,-,-,2
Kansas,7,-,-,-,-,-,-,-,-,-,1,-,1,2,-,1,-,-,-,2
Kentucky,10,-,-,-,-,1,-,-,-,-,-,-,-,1,-,1,-,-,2,5
Louisiana,"3,247",49,69,212,22,24,77,128,12,146,53,7,32,135,106,19,13,77,751,"1,315"
Maine,41,3,-,1,-,-,4,1,-,2,3,2,2,6,2,-,1,-,2,12
Maryland,"1,259",40,14,6,16,14,111,21,9,74,59,53,102,17,39,10,70,63,57,484
Massachusetts,"14,762",858,313,96,720,84,236,174,"1,154",518,224,292,130,80,155,292,1157,531,"1,125","6,623"
Michigan,"12,658",359,62,107,43,19,23,40,25,967,157,81,405,912,474,500,742,414,539,"6,789"
Minnesota,6,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,2
Mississippi,410,9,14,3,-,3,4,3,1,30,6,4,7,19,47,-,5,18,150,87
Missouri,14,2,2,-,-,-,1,-,-,-,1,-,-,2,1,-,2,-,-,3
Montana,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
Nebraska,4,-,-,-,-,-,-,-,-,-,-,-,1,-,3,-,-,-,-,-
Nevada,24,-,-,-,-,-,1,1,-,-,-,-,-,13,3,1,-,1,1,3
New Hampshire,489,23,16,1,12,7,5,-,8,29,17,2,16,8,14,4,14,63,16,234
New Jersey,"44,351",658,"3,364","2,860","2,759","2,220",926,438,"1,811","4,182",300,"1,546","1,285",446,"2,620","1,185",1574,856,562,"14,759"
New Mexico,5,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,2
New York,"169,428","9,340","7,941","1,820","19,613","6,835","3,044","1,264","10,273","5,271","1,082","12,475","3,941","1,591","3,679","2,893","15,804","3,547","1,539","57,476"
North Carolina,11,-,-,3,-,-,-,-,1,-,-,-,-,-,1,-,-,1,-,5
Ohio,"5,106",197,50,14,18,21,27,24,4,488,98,63,158,196,197,104,713,195,188,"2,351"
Oklahoma,8,-,1,-,-,-,1,-,-,-,1,-,-,3,-,-,-,-,-,2
Oregon,23,-,-,1,-,-,1,2,-,1,1,-,-,7,3,-,-,3,-,4
Pennsylvania,"9,652",291,206,68,120,70,47,41,267,915,147,335,570,163,280,276,1166,400,"1,044","3,246"
Rhode Island,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
South Carolina,713,25,32,5,4,6,5,4,2,88,14,5,18,20,80,5,11,73,37,279
South Dakota,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
Tennessee,14,-,1,-,-,-,-,-,-,1,2,1,-,2,-,-,-,-,-,7
Texas,"57,970",673,946,365,94,200,"3,618",676,21,"1,830",954,199,962,"30,315","1,146",149,406,942,"4,201","10,273"
Utah,22,1,-,1,-,-,1,-,-,-,-,-,2,5,2,1,1,1,2,5
Vermont,9,-,-,-,-,-,-,-,1,-,-,-,-,4,-,-,-,-,-,4
Virginia,"13,724",343,236,55,51,164,"1,382",213,24,657,657,69,"1,121",215,528,59,195,290,"1,580","5,885"
Washington,"12,228",656,78,20,8,19,106,48,9,433,228,13,"1,147",960,"1,333",122,504,566,"1,916","4,062"
West Virginia,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2
Wisconsin,5,-,-,-,-,-,-,-,-,-,-,-,1,3,-,1,-,-,-,-
Wyoming,127,5,-,1,-,-,-,-,-,7,3,-,3,40,13,1,-,15,2,37
U.S. territories & possessions,,,,,,,,,,,,,,,,,,,,
Guam,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
Puerto Rico,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1
Virgin Islands,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
Other or unknown  1/,"111,133",51,71,72,35,24,42,36,27,156,68,54,96,236,337,134,191,103,162,"109,238"
,,,,,,,,,,,,,,,,,,,,
"1/  The ""Other or unknown"" category for for state of residence is large because some of the data were obtained ",,,,,,,,,,,,,,,,,,,,
"     from the INS' Central Index System, in which this information is not collected.  ",,,,,,,,,,,,,,,,,,,,
"    The ""Other or unknown"" are concentrated among areas that are not part of the automated case tracking system.   ",,,,,,,,,,,,,,,,,,,,
"     With the exception of Maryland, these are areas with relatively few naturalizations.  ",,,,,,,,,,,,,,,,,,,,
"    Also, the country totals may be understated because country of allegiance is missing for most of these cases.",,,,,,,,,,,,,,,,,,,,
     See Naturalization section of text for explanation.,,,,,,,,,,,,,,,,,,,,
 -  Represents zero.,,,,,,,,,,,,,,,,,,,,
