TABLE 49.  PERSONS NATURALIZED BY SELECTED COUNTRY OR BIRTH AND STATE OF RESIDENCE,,,,,,,,,,,,,,,,,,,,
FISCAL YEAR 1999,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,All,"China,",,,Dominican,El,,,,,,,,,,Soviet,,,,
State of residence,countries,People's Republic,Colombia,Cuba,Republic,Salvador,Guatemala,Haiti,India,Iran,Jamaica,Korea,Mexico,Philippines,Poland,Union,Taiwan,Ukraine,Vietnam,Other 
,,,,,,,,,,,,,,,,,,,,
Total,"839,944","38,409","13,168","25,467","23,089","22,991","11,031","19,550","30,710","18,268","28,604","17,738","207,750","38,944","13,127","11,300","11,215","12,190","53,316","243,077"
Alabama,"1,132",74,13,2,3,7,3,3,132,31,20,67,135,58,9,3,32,9,99,432
Alaska,633,18,16,2,19,5,1,-,12,4,3,58,75,169,11,-,4,6,20,210
Arizona,"8,737",199,57,13,11,129,85,3,200,98,9,77,"5,547",227,62,85,54,22,395,"1,464"
Arkansas,442,22,2,6,1,19,6,-,29,10,-,5,105,32,1,1,2,-,43,158
California,"284,071","13,502","1,140","1,058",73,"13,936","6,311",102,"5,496","11,682",450,"7,174","111,640","18,880",527,"1,932","6,034","2,577","23,977","57,580"
Colorado,"8,552",436,52,16,16,99,55,7,197,158,21,256,"2,776",218,126,207,88,142,865,"2,817"
Connecticut,"8,064",551,205,28,174,32,33,164,483,73,993,84,82,174,840,97,59,177,341,"3,474"
Delaware,844,91,13,1,13,4,3,18,117,13,48,24,86,38,12,8,20,8,25,302
District of Columbia,"1,621",52,22,11,46,266,29,21,16,28,135,7,21,47,4,1,2,2,75,836
Florida,"67,567",572,"3,977","16,096","2,167",571,603,"6,062","1,148",393,"6,887",314,"2,813","1,340",318,269,165,222,"1,289","22,361"
Georgia,"9,717",516,153,68,49,98,65,121,883,253,595,372,"1,135",204,37,159,170,107,"1,096","3,636"
Hawaii,"3,600",395,6,-,2,-,7,5,9,15,8,332,74,"1,542",5,2,53,1,304,840
Idaho,"1,028",48,8,-,1,6,7,-,12,5,-,17,529,37,15,21,1,32,62,227
Illinois,"36,742","1,296",257,102,51,217,679,162,"3,120",316,262,808,"11,732","1,782","4,757",867,299,"1,012",846,"8,177"
Indiana,"1,747",144,10,1,3,7,7,5,169,36,11,42,430,85,56,32,24,35,102,548
Iowa,73,3,-,-,-,2,-,-,7,-,-,-,8,3,3,1,3,2,11,30
Kansas,"3,461",213,18,2,2,60,16,4,165,61,9,58,"1,175",72,6,20,43,90,652,795
Kentucky,"1,041",77,8,3,1,7,5,4,94,19,7,28,68,49,7,23,12,19,148,462
Louisiana,"2,701",152,43,62,18,38,83,6,144,39,10,38,118,103,4,9,24,4,664,"1,142"
Maine,340,26,2,2,5,3,-,-,13,4,7,10,8,22,6,-,2,11,25,194
Maryland,"9,699","1,191",94,18,95,492,100,84,747,343,404,554,124,395,70,4,174,347,496,"3,967"
Massachusetts,"21,672","1,296",297,71,"1,318",281,240,"1,771",729,241,636,200,110,213,419,430,197,487,"1,750","10,986"
Michigan,"7,966",407,31,29,17,17,20,12,655,82,100,127,659,212,388,150,125,102,547,"4,286"
Minnesota,"6,507",535,22,10,12,26,19,3,259,79,26,64,344,117,54,2,45,192,"1,005","3,693"
Mississippi,624,40,10,3,2,5,2,-,88,6,6,17,54,61,3,2,7,1,133,184
Missouri,"2,376",227,11,14,4,15,11,17,182,54,21,62,225,131,17,102,42,22,383,836
Montana,214,14,-,2,-,1,-,-,4,-,1,2,22,16,1,6,2,1,8,134
Nebraska,407,10,-,-,-,1,3,-,2,1,-,-,19,346,1,-,1,-,7,16
Nevada,"3,427",112,20,75,-,39,63,1,78,42,6,52,"1,510",453,11,5,18,2,73,867
New Hampshire,"1,078",55,19,-,29,10,10,24,67,20,13,33,20,40,15,8,32,20,52,611
New Jersey,"8,294",438,301,155,468,104,64,281,"1,002",64,331,272,121,664,385,78,157,105,214,"3,090"
New Mexico,"1,507",49,12,7,3,18,27,1,40,19,4,5,827,54,5,23,12,1,135,265
