"Table 1.  Persons naturalized by Country of Birth and State of Intended Residence, Fiscal Year 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of Birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Possessions,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Total,"462,435","1,182",745,"7,218",715,"135,599","4,833","4,284",707,852,"35,105","11,068","2,287",56,"23,401","2,725","1,123","1,897","1,543","1,702",427,"13,836","11,461","5,191","6,226",445,"3,255",81,789,"4,095","1,027","22,968",993,"63,888","3,577",146,"2,764","1,573","4,300","9,443","1,620","1,020",177,"2,011","28,638",D,"1,622","1,682",426,"9,583","11,787",261,"2,775",111,"7,193"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,"2,284",-,D,25,-,36,6,133,-,3,134,12,-,-,154,9,4,3,D,-,3,44,307,246,8,-,63,-,-,11,19,126,-,522,12,-,29,4,14,222,3,3,-,4,19,-,-,D,D,17,29,-,25,-,30
Armenia,"1,673",-,-,8,D,"1,462",3,D,-,D,8,D,-,-,5,D,-,D,-,D,-,9,25,3,D,-,3,-,-,11,-,14,-,60,D,-,-,D,3,8,6,-,-,-,4,-,-,8,D,5,7,-,D,-,2
Austria,240,3,D,11,D,57,D,4,-,D,19,5,D,-,10,D,3,D,D,-,-,10,D,5,4,-,5,-,-,D,4,13,-,25,4,-,7,D,3,3,-,D,-,-,4,-,-,D,D,8,7,-,-,D,5
Azerbaijan,886,4,-,14,-,228,18,6,D,D,7,3,-,-,15,5,D,D,4,-,-,22,22,22,6,-,17,-,8,D,3,11,-,291,D,-,18,D,7,35,5,-,D,D,5,-,-,3,3,5,76,D,4,-,5
Belarus,"1,224",D,-,9,-,157,56,11,D,-,19,13,-,-,61,7,D,D,3,D,-,46,23,8,41,-,24,D,-,D,D,48,-,481,D,-,30,-,21,42,5,D,-,-,13,-,-,4,D,18,50,-,15,-,4
Belgium,250,-,D,5,-,76,5,-,D,3,18,5,D,-,8,D,D,D,3,D,D,9,11,D,D,-,D,-,-,3,D,7,-,29,3,-,D,-,D,3,D,D,-,4,15,-,D,D,D,6,4,-,-,D,5
Bosnia-Herzegovina,"4,993",5,-,266,D,497,83,36,-,D,292,213,-,-,700,58,224,11,173,7,6,45,94,127,92,-,333,-,29,39,37,36,4,387,28,10,36,6,78,148,-,4,18,55,166,-,-,155,94,52,179,3,29,-,133
Bulgaria,"1,599",D,D,44,D,293,40,16,D,4,112,36,3,-,329,9,D,6,7,D,5,51,34,24,11,3,34,-,3,54,D,42,D,163,19,-,10,D,7,40,-,5,-,8,43,-,-,11,D,28,60,D,5,-,24
Croatia,615,3,-,16,D,91,8,3,4,D,50,16,D,-,75,19,5,4,9,D,-,12,17,6,5,-,15,-,3,4,D,27,-,70,4,D,8,4,7,30,D,-,D,5,15,-,-,12,8,7,18,D,12,-,11
Czech Republic,50,-,-,D,-,15,-,D,-,-,D,D,-,-,6,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,D,D,D,D,D,-,-,-,D,D,-,D,-,-,D,-,-,-,-,D,5,-,D,-,2
"Czechoslovakia, former",333,-,-,11,D,65,5,3,-,3,21,4,3,D,23,D,-,-,D,-,-,9,11,4,3,D,4,D,-,5,D,24,D,48,D,-,5,D,10,4,-,-,-,D,19,-,-,D,-,10,20,-,D,-,5
Denmark,197,D,-,8,3,56,D,D,-,-,21,4,D,-,7,D,-,D,D,-,-,5,4,D,-,-,5,-,-,4,D,8,D,16,3,-,D,D,8,4,-,-,-,D,7,-,-,D,-,3,6,-,D,-,4
Estonia,102,D,-,3,-,18,5,D,-,-,5,D,-,-,4,D,D,-,-,-,-,-,D,D,D,-,D,-,-,D,D,3,-,16,-,-,D,D,9,3,D,-,-,-,4,-,-,-,-,3,9,-,D,-,1
