SUPPLEMENTAL TABLE 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY COUNTRY OF BIRTH AND STATE OF INTENDED RESIDENCE: FISCAL YEAR 2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of Birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Possessions,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
     Total,"537,151",734,777,"6,500",823,"145,594","6,007","5,957",982,882,"43,795","6,880","2,050",864,"29,432","2,455","1,314","2,093","1,307","1,458",548,"12,295","16,263","14,615","7,713",557,"3,999",285,"1,537","4,622",958,"30,291","1,449","66,234","5,084",267,"8,590","1,765","3,612","10,205","2,185","1,748",257,"2,613","35,417",2,"1,849","3,110",419,"13,478","12,668",237,"3,570",146,"8,659"
Europe,"89,014",97,111,"1,206",84,"14,468","1,521","1,711",148,126,"4,863",910,99,294,"10,274",525,367,173,406,139,161,"1,519","4,008","4,110","1,125",50,"1,256",88,245,655,325,"5,152",183,"13,753",642,87,"2,623",175,897,"2,771",468,353,97,362,"2,527",D,63,823,213,"1,446","3,103",48,793,D,"1,329"
Albania,"3,324",-,-,10,-,33,D,176,D,5,209,D,-,3,280,11,-,3,-,-,6,53,449,661,3,-,62,-,5,14,17,177,D,523,11,-,176,D,D,243,D,13,-,D,51,-,-,D,5,23,19,-,51,-,19
Armenia,"1,793",-,D,5,-,"1,537",4,9,-,D,9,D,-,-,7,3,-,-,D,D,-,4,25,12,5,-,5,-,-,19,D,13,D,48,D,-,4,D,6,11,16,D,-,3,5,-,-,11,-,6,12,-,-,-,2
Austria,277,D,-,7,D,53,7,4,-,D,26,D,D,D,18,-,D,-,-,-,-,12,6,16,4,D,3,D,-,4,3,10,D,38,4,-,6,-,D,4,-,D,-,D,12,-,-,D,D,8,7,-,-,D,5
Azerbaijan,793,-,D,D,-,209,9,10,-,D,13,3,D,D,13,D,D,3,11,-,3,12,33,42,6,-,12,-,D,D,-,13,D,227,D,D,20,D,D,21,D,-,D,4,10,-,-,14,3,8,56,D,5,-,8
Belarus,"1,464",-,D,4,D,194,81,25,D,D,28,13,-,D,79,8,D,-,7,-,-,30,43,38,48,-,35,3,5,D,D,62,D,438,10,-,69,-,15,55,10,3,-,-,22,-,-,4,D,15,70,-,24,-,13
Belgium,232,3,-,4,D,48,10,6,D,3,20,5,-,-,9,D,D,-,D,-,D,4,10,9,-,-,D,D,-,3,D,7,D,26,D,-,4,D,5,6,-,D,-,-,16,-,D,D,-,6,D,-,D,-,5
Bosnia-Herzegovina,"8,013",5,6,291,D,561,122,68,3,5,481,158,-,160,990,118,257,16,177,15,16,32,188,503,181,-,535,-,106,97,51,78,4,551,75,54,170,9,88,212,6,8,33,45,304,-,D,379,85,127,278,4,76,D,281
Bulgaria,"2,487",-,-,52,D,379,41,23,10,6,136,73,D,4,599,24,-,15,7,4,6,49,89,91,33,-,53,D,D,65,6,61,3,207,10,-,40,7,10,56,D,17,-,5,85,-,-,15,D,71,98,D,8,4,15
