Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"743,715","1,775","1,100","12,377","1,648","179,754","6,813","10,421","1,545","2,188","82,788","15,408",654,"3,744","1,674","28,112","4,261","2,198","3,129","2,390","3,402",729,"17,099","21,748","10,703","9,089","1,170","4,526",267,"1,644","8,470","1,492","35,077","3,062","88,733","16,294",273,"8,072","2,256","5,051","16,905","1,253","2,458","3,506",415,"4,938","54,024",432,619,"2,823",426,"24,730","19,853",361,"3,845",186,"5,805"
Africa,"60,383",185,44,741,67,"5,426",891,723,241,620,"2,284","2,777",11,75,60,"1,606",491,273,331,319,203,175,"4,415","3,151",755,"3,795",83,643,13,303,695,167,"2,872",69,"5,386","2,101",68,"1,789",209,334,"2,253",7,540,275,157,961,"4,457",41,4,167,66,"4,046","2,013",50,321,3,631
Asia,"276,375",864,567,"3,619",608,"86,570","2,165","3,194",703,397,"9,769","5,623",538,"2,843",396,"9,798","1,716",812,"1,276",871,"1,702",254,"6,270","7,125","6,029","3,065",611,"1,956",71,535,"3,124",562,"13,846",494,"29,730","6,118",78,"3,546",931,"2,068","7,460",63,462,"1,312",104,"2,183","18,451",147,70,738,126,"11,703","9,465",159,"1,656",50,"1,782"
Europe,"90,149",230,220,"1,346",119,"12,055","1,217","2,565",149,294,"6,738","1,791",19,216,322,"8,353",671,428,238,499,244,142,"1,686","3,774","2,365",969,92,"1,059",88,144,883,361,"5,171",233,"13,889","2,031",74,"1,579",212,"1,054","3,171",56,288,667,86,602,"2,854",43,13,381,140,"2,397","4,443",74,741,34,639
North America,"250,266",391,178,"6,233",789,"68,323","2,115","2,371",365,633,"46,992","3,896",59,293,796,"7,365","1,186",590,"1,133",568,"1,023",111,"3,377","5,342","1,288",877,294,701,73,588,"3,323",245,"7,519","2,140","26,978","4,518",40,797,769,"1,378","3,067",899,894,807,57,921,"25,683",152,513,"1,015",70,"4,112","3,144",55,951,84,"2,185"
Oceania,"3,928",8,47,83,8,"1,531",102,36,1,31,116,62,12,186,12,44,21,6,13,25,14,7,48,52,18,20,8,23,5,6,49,11,52,12,178,85,5,25,9,74,45,1,6,18,1,23,147,16,-,107,6,167,297,3,23,1,22
South America,"61,674",93,43,345,53,"5,710",318,"1,521",86,213,"16,777","1,235",15,130,88,862,170,84,134,95,195,40,"1,289","2,271",231,356,75,139,16,67,393,146,"5,594",102,"12,487","1,424",8,302,122,139,892,224,264,413,10,233,"2,336",33,19,413,18,"2,285",477,18,152,14,505
Unknown,940,4,1,10,4,139,5,11,-,-,112,24,-,1,-,84,6,5,4,13,21,-,14,33,17,7,7,5,1,1,3,-,23,12,85,17,-,34,4,4,17,3,4,14,-,15,96,-,-,2,-,20,14,2,1,-,41
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"743,715","1,775","1,100","12,377","1,648","179,754","6,813","10,421","1,545","2,188","82,788","15,408",654,"3,744","1,674","28,112","4,261","2,198","3,129","2,390","3,402",729,"17,099","21,748","10,703","9,089","1,170","4,526",267,"1,644","8,470","1,492","35,077","3,062","88,733","16,294",273,"8,072","2,256","5,051","16,905","1,253","2,458","3,506",415,"4,938","54,024",432,619,"2,823",426,"24,730","19,853",361,"3,845",186,"5,805"
Afghanistan,"2,588",-,-,79,-,888,45,32,8,-,42,54,-,-,32,47,12,7,1,9,9,8,33,41,28,3,-,64,-,17,28,4,65,14,254,31,-,15,-,17,45,-,2,1,2,14,88,-,-,31,-,434,41,-,13,-,30
Albania,"3,483",-,3,20,1,87,6,256,-,5,274,14,-,-,7,197,5,-,4,-,4,-,36,457,350,6,-,55,-,1,26,9,175,-,833,34,-,85,3,9,289,-,2,21,-,11,54,1,-,7,-,56,17,-,41,-,22
Algeria,"1,024",3,-,4,4,135,18,12,1,3,42,12,-,-,-,55,7,2,3,1,15,1,16,95,16,8,-,6,-,2,12,4,55,1,166,33,-,37,2,6,58,-,2,5,1,9,75,-,-,1,-,76,14,-,3,-,3
American Samoa,265,-,15,1,-,44,4,-,-,-,2,5,-,63,-,-,1,-,-,3,2,-,-,1,-,-,1,2,-,-,3,-,-,1,2,6,1,-,-,2,2,-,-,-,-,1,-,5,-,12,-,50,31,-,-,-,5
Andorra,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Angola,95,-,-,1,-,8,-,6,-,1,10,2,-,-,-,1,-,-,-,-,-,-,6,20,1,1,-,-,-,1,-,-,13,-,3,1,-,1,-,-,3,-,6,1,-,1,5,-,-,1,-,-,-,-,-,-,2
Anguilla,29,-,-,-,-,-,1,1,1,-,3,2,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,1,-,5,1,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,1,-,-,-,-,1
Antigua-Barbuda,456,1,-,2,1,8,1,4,-,-,74,24,1,-,-,2,-,-,1,1,1,-,17,10,1,2,-,2,-,-,3,-,24,-,154,14,-,1,-,-,15,1,2,1,-,-,14,-,52,-,-,12,3,-,-,-,7
Argentina,"3,153",3,4,26,3,613,30,57,4,22,"1,039",46,-,10,5,55,9,5,15,8,13,2,70,35,18,19,7,9,2,2,37,2,127,5,321,61,-,18,9,10,35,21,8,17,-,8,139,-,-,39,2,105,20,1,15,-,22
Armenia,"2,021",1,-,13,-,"1,610",10,5,-,2,23,4,-,4,2,10,1,1,-,1,-,-,12,43,6,5,-,6,-,1,31,-,29,1,83,13,-,8,-,1,13,-,3,2,-,1,16,-,-,9,1,20,20,-,3,-,7
Aruba,37,1,-,-,-,2,-,1,1,-,7,2,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,4,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-
Australia,"1,392",6,8,37,2,349,57,26,1,25,68,27,5,19,4,28,9,3,3,7,3,6,34,34,11,10,6,11,5,1,18,10,40,5,136,45,3,17,5,25,28,1,5,12,-,18,73,3,-,8,5,37,73,2,11,-,7
Austria,303,-,2,8,-,62,6,5,-,3,23,6,-,7,4,8,3,1,-,1,1,-,6,8,5,3,-,2,-,1,6,-,11,4,44,9,-,6,1,4,7,-,1,2,-,3,15,-,-,1,1,13,7,-,1,-,2
Azerbaijan,"1,005",-,3,10,-,252,15,12,-,-,23,8,-,-,7,16,5,-,6,7,2,-,19,28,18,11,-,9,-,2,9,1,24,-,255,17,-,13,-,10,27,-,-,-,-,5,35,-,-,7,9,23,110,-,3,-,4
Bahamas,569,8,1,2,-,6,2,5,-,5,367,29,-,1,-,5,1,-,-,1,2,-,13,6,1,2,-,-,-,1,1,-,6,-,21,20,-,-,2,-,9,-,1,2,-,5,17,-,-,-,-,11,6,-,1,-,9
Bahrain,91,2,1,3,-,6,3,-,-,-,6,5,-,1,-,6,1,1,-,-,1,-,1,2,1,-,-,1,-,-,2,-,3,-,9,5,-,3,3,-,4,-,-,-,-,-,11,-,-,1,-,4,3,-,1,-,1
Bangladesh,"6,644",16,-,69,8,544,19,129,19,14,377,151,-,-,-,59,21,7,35,13,12,4,148,113,274,85,2,22,-,3,30,2,375,2,"2,995",66,3,43,24,14,175,-,4,6,-,20,343,1,2,2,4,313,29,1,12,-,34
Barbados,878,-,-,3,-,17,2,15,3,2,118,28,-,-,-,9,2,-,1,1,2,-,22,60,2,1,1,1,-,-,1,1,39,-,423,19,-,3,1,-,34,-,-,6,-,5,15,5,1,-,-,23,3,-,2,-,7
Belarus,"1,583",2,2,13,1,220,35,42,2,3,68,18,1,-,3,85,7,2,1,4,1,3,28,69,17,67,-,20,6,3,7,4,62,2,378,26,-,26,3,20,77,-,3,14,-,11,24,1,-,2,1,41,137,-,17,-,4
Belgium,673,1,2,22,1,116,10,10,1,5,66,19,-,4,1,15,1,1,3,1,11,1,26,23,9,10,4,9,-,2,11,1,27,3,70,31,-,17,3,4,13,-,1,8,-,8,33,-,-,2,1,35,23,2,1,-,5
Belize,854,2,1,7,1,346,4,3,1,2,72,18,3,3,1,58,3,1,2,1,6,-,4,8,2,1,4,4,-,-,13,-,24,4,139,13,-,2,1,-,5,-,-,2,-,3,61,2,-,4,-,13,7,-,-,-,3
Benin,119,1,-,2,-,2,4,2,1,-,5,5,-,1,1,6,6,-,1,-,-,-,12,6,1,9,-,-,-,2,-,1,3,-,11,6,-,3,-,-,9,-,1,-,-,2,2,1,-,-,1,7,2,-,-,-,3
Bermuda,80,2,-,2,-,9,-,4,2,1,12,7,-,-,-,1,-,-,-,-,-,-,2,4,-,1,-,-,-,-,1,-,1,-,6,8,-,1,-,-,1,-,1,4,-,2,2,-,-,-,-,6,-,-,-,-,-
Bhutan,17,-,-,-,-,8,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-
Bolivia,"1,700",1,3,9,2,213,6,7,2,14,211,8,-,-,2,20,5,-,1,-,-,-,118,27,3,5,3,6,1,1,12,2,56,8,131,31,1,5,2,5,8,-,37,8,1,3,83,3,-,14,-,584,10,-,10,1,17
Bosnia-Herzegovina,"4,544",7,7,170,-,157,63,80,2,2,314,215,-,1,80,319,74,221,14,175,25,16,26,54,236,76,3,448,-,26,75,63,53,-,329,116,33,117,3,44,138,-,3,11,9,52,114,1,-,85,40,123,194,2,82,-,46
Botswana,17,-,-,-,-,-,1,-,-,1,2,-,1,-,-,-,-,-,1,-,1,-,1,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,1,2,-,1,-,-
Brazil,"7,960",11,7,65,4,995,47,260,4,28,"1,844",208,1,40,10,105,32,20,18,21,23,18,160,"1,336",57,38,12,17,2,7,60,70,553,9,568,162,1,53,18,30,103,3,37,44,3,44,337,6,2,79,2,186,112,7,17,3,61
British Virgin Islands,43,-,-,-,-,2,-,1,-,1,6,1,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,2,-,6,1,-,-,1,-,-,-,-,-,-,-,-,-,17,-,-,1,1,-,-,-,1
Brunei,14,-,-,1,-,4,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,1,-,-,-,1
Bulgaria,"3,211",4,2,43,6,461,63,57,13,9,274,130,-,12,3,582,21,7,14,27,8,10,52,106,51,30,1,32,4,3,141,6,100,9,307,39,-,28,12,23,89,1,1,28,1,13,94,1,-,17,-,102,125,1,24,2,22
Burkina Faso,90,-,-,1,-,5,2,-,-,3,-,3,1,-,-,1,-,4,-,1,-,-,8,2,2,-,-,-,-,-,-,-,8,1,12,2,1,5,-,-,9,-,1,-,-,1,3,-,-,-,-,3,6,-,2,-,3
Burma,"1,447",1,2,14,3,578,2,4,2,1,55,20,2,7,2,25,41,1,4,5,1,1,56,17,9,26,-,5,-,6,14,3,31,1,280,42,1,10,1,9,23,-,-,7,-,5,42,-,1,3,-,44,31,1,3,-,5
Burundi,90,-,-,4,-,7,3,1,-,-,6,2,-,-,-,3,-,4,1,4,-,1,4,1,2,-,1,-,-,-,-,-,1,1,5,6,-,3,-,1,3,-,-,1,-,3,17,-,-,-,1,2,2,-,-,-,-
Cambodia,"4,673",26,1,40,5,"1,648",40,58,2,-,86,80,1,11,5,49,16,14,20,28,13,13,39,565,31,170,10,20,1,6,21,18,23,-,61,122,2,66,4,57,300,-,68,45,2,23,237,-,-,25,1,118,420,-,28,1,33
Cameroon,"1,098",3,1,9,3,78,5,10,20,9,12,87,1,2,2,35,4,-,7,15,6,2,291,53,15,38,-,8,-,2,7,-,29,3,41,27,1,27,8,1,21,-,1,1,-,8,107,3,-,4,1,52,9,3,3,-,23
Canada,"9,753",48,31,322,16,"1,503",183,212,17,46,"1,199",238,2,44,66,208,82,45,46,55,41,58,132,252,372,138,24,72,37,19,122,100,200,48,578,498,19,167,30,115,227,2,27,122,11,120,598,3,5,78,55,262,684,7,89,9,69
