Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total," 619,913 "," 2,027 ", 831 ," 10,340 "," 1,275 "," 129,354 "," 7,165 "," 7,452 "," 1,829 "," 1,319 "," 67,484 "," 18,253 ", 644 ," 3,190 "," 1,102 "," 26,180 "," 3,866 "," 1,858 "," 2,492 "," 2,398 "," 2,423 ", 839 ," 16,220 "," 21,095 "," 11,162 "," 9,020 ", 967 ," 4,388 ", 259 ," 1,590 "," 6,791 "," 1,670 "," 33,864 "," 2,205 "," 67,972 "," 9,988 ", 286 ," 8,617 "," 2,678 "," 4,910 "," 16,143 "," 1,318 "," 2,078 "," 3,081 ", 399 ," 4,229 "," 49,699 ", 41 , 549 ," 2,908 ", 407 ," 17,815 "," 16,830 ", 550 ," 3,864 ", 229 ," 3,770 "
Africa," 64,023 ", 202 , 67 , 942 , 64 ," 5,480 "," 1,083 ", 600 , 345 , 485 ," 2,206 "," 3,657 ", D , 91 , 74 ," 2,022 ", 583 , 319 , 325 , 363 , 198 , 250 ," 4,945 "," 3,167 ", 850 ," 4,309 ", 70 , 655 , 12 , 371 , 617 , 189 ," 3,266 ", 79 ," 4,881 "," 1,529 ", 82 ," 2,220 ", 301 , 393 ," 2,546 ", 7 , 487 , 348 , 129 ," 1,090 "," 5,238 ", 4 , D , 218 , 76 ," 3,447 "," 2,186 ", 86 , 381 , D , 473 
Asia," 251,598 "," 1,037 ", 395 ," 3,202 ", 531 ," 74,328 "," 2,178 "," 2,371 ", 810 , 211 ," 9,142 "," 7,079 ", 563 ," 2,252 ", 234 ," 10,780 "," 1,659 ", 663 ," 1,039 ", 960 ," 1,178 ", 274 ," 6,071 "," 7,225 "," 6,424 "," 2,889 ", 480 ," 1,939 ", 59 , 492 ," 2,925 ", 672 ," 14,194 ", 509 ," 24,931 "," 4,002 ", 105 ," 3,616 "," 1,184 "," 1,989 "," 7,304 ", 70 , 400 ," 1,342 ", 136 ," 1,793 "," 19,631 ", 12 , 55 , 759 , 114 ," 8,302 "," 7,680 ", 272 ," 1,807 ", 54 ," 1,275 "
Europe," 77,951 ", 232 , 173 ," 1,259 ", 100 ," 9,987 "," 1,299 "," 1,900 ", 198 , 210 ," 6,063 "," 1,950 ", D , 235 , 235 ," 6,969 ", 521 , 375 , 194 , 441 , 194 , 156 ," 1,368 "," 3,557 "," 2,446 ", 780 , 94 , 978 , 83 , 134 , 789 , 352 ," 4,609 ", 215 ," 11,190 "," 1,231 ", 62 ," 1,618 ", 235 ," 1,041 "," 2,840 ", 50 , 249 , 461 , 74 , 468 ," 3,037 ", D , 18 , 377 , 121 ," 1,759 "," 3,627 ", 75 , 717 , 47 , 542 
North America," 163,888 ", 418 , 115 ," 4,500 ", 537 ," 33,706 "," 2,107 "," 1,468 ", 373 , 289 ," 31,071 "," 3,751 ", 34 , 279 , 488 ," 5,298 ", 851 , 432 , 787 , 455 , 667 , 112 ," 2,642 "," 4,367 "," 1,129 ", 695 , 243 , 590 , 68 , 521 ," 2,081 ", 242 ," 6,526 "," 1,297 "," 18,117 "," 2,127 ", 27 , 751 , 727 ," 1,267 "," 2,558 ", 937 , 699 , 544 , 42 , 656 ," 18,657 ", 14 , 456 , 958 , 66 ," 2,563 "," 2,593 ", 75 , 743 , 104 ," 1,068 "
Oceania," 3,646 ", 6 , 38 , 52 , 4 ," 1,491 ", 95 , 25 , 3 , 11 , 98 , 52 , 14 , 205 , 12 , 50 , 16 , 6 , 16 , 18 , 9 , 10 , 46 , 59 , 30 , 17 , 9 , 25 , 5 , D , 46 , 12 , 54 , 16 , 131 , 51 , D , 17 , 20 , 77 , 32 , - , 11 , 22 , - , 20 , 170 , D , D , 115 , 3 , 105 , 261 , 4 , 20 , D , 26 
South America," 58,481 ", 129 , 43 , 381 , 38 ," 4,309 ", 400 ," 1,088 ", 100 , 112 ," 18,877 "," 1,762 ", 15 , 128 , 59 ," 1,031 ", 227 , 63 , 127 , 160 , 170 , 37 ," 1,146 "," 2,719 ", 267 , 328 , 69 , 197 , 32 , D , 330 , 202 ," 5,201 ", 88 ," 8,707 "," 1,039 ", D , 368 , 208 , 143 , 861 , 250 , 231 , 363 , 18 , 195 ," 2,932 ", 7 , 13 , 479 , 27 ," 1,630 ", 479 , 38 , 192 , 15 , 376 
Unknown, 326 , 3 , - , 4 , 1 , 53 , 3 , - , - , 1 , 27 , 2 , - , - , - , 30 , 9 , - , 4 , 1 , 7 , - , 2 , 1 , 16 , 2 , 2 , 4 , - , 1 , 3 , 1 , 14 , 1 , 15 , 9 , - , 27 , 3 , - , 2 , 4 , 1 , 1 , - , 7 , 34 , - , 2 , 2 , - , 9 , 4 , - , 4 , - , 10 
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
