Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown,
REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total," 730,259 "," 2,834 ", 964 ," 13,748 "," 1,576 "," 155,979 "," 9,423 "," 9,838 "," 1,633 "," 1,684 "," 81,960 "," 20,794 ", 712 ," 3,698 "," 1,427 "," 25,722 "," 4,686 "," 2,574 "," 2,830 "," 2,846 "," 2,956 "," 1,102 "," 18,390 "," 23,554 "," 12,473 "," 7,533 ", 946 ," 4,318 ", 249 ," 2,221 "," 7,900 "," 1,570 "," 34,857 "," 2,452 "," 90,368 "," 11,569 ", 561 ," 9,580 "," 3,858 "," 6,130 "," 16,554 "," 2,826 "," 2,728 "," 4,611 ", 542 ," 5,381 "," 65,467 ", 161 , 734 ," 4,838 ", 570 ," 18,391 "," 14,341 ", 501 ," 3,738 ", 257 ," 1,104 ",
Africa," 71,492 ", 393 , 72 , 998 , 101 ," 5,378 "," 1,331 ", 716 , 392 , 650 ," 2,034 "," 3,794 ", D , 53 , 125 ," 2,209 ", 697 , 582 , 418 , 498 , 230 , 296 ," 6,150 "," 3,843 ", 746 ," 2,973 ", 86 , 706 , 16 , 496 , 589 , 141 ," 3,405 ", 73 ," 7,469 "," 1,827 ", 219 ," 2,390 ", 553 , 452 ," 2,611 ", 7 , 560 , 643 , 181 ," 1,100 "," 6,798 ", 23 , D , 310 , 128 ," 3,622 "," 1,762 ", 86 , 413 , 22 , 115 ,
Asia," 261,374 "," 1,307 ", 509 ," 4,043 ", 582 ," 74,514 "," 2,942 "," 2,477 ", 526 , 309 ," 8,280 "," 7,502 ", 676 ," 2,887 ", 460 ," 10,035 "," 2,104 ", 941 ," 1,181 "," 1,189 "," 1,298 ", 404 ," 6,124 "," 6,790 "," 7,831 "," 2,875 ", 451 ," 1,784 ", 72 , 810 ," 3,116 ", 684 ," 11,873 ", 488 ," 31,022 "," 4,314 ", 206 ," 4,365 "," 1,526 "," 2,269 "," 6,949 ", 50 , 455 ," 1,388 ", 202 ," 2,175 "," 20,928 ", 58 , 117 ," 1,447 ", 210 ," 8,094 "," 6,152 ", 225 ," 1,665 ", 75 , 418 ,
Europe," 78,074 ", 339 , 163 ," 1,209 ", 111 ," 10,715 "," 1,484 "," 2,223 ", 177 , 214 ," 6,511 "," 2,151 ", 16 , 248 , 244 ," 6,282 ", 563 , 378 , 212 , 427 , 234 , 189 ," 1,270 "," 3,806 "," 2,281 ", 640 , 71 , 937 , 83 , 140 , 757 , 348 ," 4,290 ", 173 ," 11,057 "," 1,403 ", 62 ," 1,389 ", 256 ," 1,221 "," 2,688 ", 61 , 286 , 686 , 74 , 593 ," 3,276 ", 19 , 12 , 410 , 111 ," 1,717 "," 3,003 ", 63 , 608 , 46 , 147 ,
North America," 247,492 ", 601 , 140 ," 6,964 ", 707 ," 58,527 "," 2,992 "," 2,601 ", 436 , 345 ," 45,353 "," 5,137 ", D , 186 , 520 ," 6,100 "," 1,066 ", 587 , 890 , 586 , 949 , 168 ," 3,425 "," 6,134 "," 1,323 ", 749 , 272 , 681 , 60 , 703 ," 2,939 ", 264 ," 8,891 "," 1,608 "," 29,217 "," 2,916 ", 60 , 994 ," 1,253 "," 1,871 "," 3,356 "," 2,334 "," 1,170 "," 1,234 ", 62 ," 1,185 "," 30,553 ", D , 586 ," 1,632 ", 88 ," 2,947 "," 2,760 ", 87 , 867 , 97 , 282 ,
Oceania," 3,811 ", D , 46 , 59 , 9 ," 1,374 ", 115 , D , 3 , D , D , 97 , 8 , 193 , 18 , 73 , D , 6 , 15 , 7 , 13 , 6 , D , 45 , 34 , D , D , D , 3 , 3 , 62 , 5 , D , 17 , 184 , 51 , D , 37 , 39 , D , D , D , 3 , 67 , D , 20 , 166 , 15 , D , 173 , D , 62 , D , D , 15 , 3 , 57 ,
South America," 67,927 ", 182 , 34 , 472 , 66 ," 5,466 ", 559 ," 1,795 ", 99 , 154 ," 19,665 "," 2,107 ", 3 , 131 , 60 ," 1,018 ", 234 , 80 , 114 , 139 , 228 , 39 ," 1,378 "," 2,933 ", 249 , 271 , 62 , 189 , 15 , 69 , 437 , 128 ," 6,343 ", 93 ," 11,412 "," 1,058 ", D , 391 , 231 , 217 , 909 , 371 , 254 , 593 , D , 308 ," 3,742 ", D , 13 , 866 , D ," 1,946 ", 427 , D , 170 , 14 , 78 ,
Unknown, 89 , D , - , 3 , - , 5 , - , D , - , D , D , 6 , - , - , - , 5 , D , - , - , - , 4 , - , D , 3 , 9 , D , D , D , - , - , - , - , D , - , 7 , - , - , 14 , - , D , D , D , - , - , - , - , 4 , - , - , - , - , 3 , D , - , - , - , 7 ,
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
