Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total," 813,861 "," 1,614 ", 890 ," 17,512 "," 2,074 "," 171,863 "," 8,819 "," 11,705 "," 1,808 "," 1,822 "," 109,235 "," 16,476 ", 714 ," 3,801 "," 1,537 "," 22,684 "," 6,112 "," 3,304 "," 2,961 "," 5,047 "," 2,338 "," 1,153 "," 19,797 "," 24,085 "," 11,716 "," 9,400 ", 951 ," 4,540 ", 456 ," 2,655 "," 8,061 "," 1,960 "," 39,953 "," 2,556 "," 89,989 "," 13,173 "," 1,324 "," 11,284 "," 3,695 "," 6,422 "," 19,693 "," 1,174 "," 2,979 "," 2,544 ", 960 ," 4,625 "," 77,025 ", 596 , 414 ," 3,961 ", 591 ," 20,732 "," 19,511 ", 486 ," 5,029 ", 227 ," 7,828 "
Africa," 76,009 ", 155 , 48 ," 1,317 ", 104 ," 6,002 "," 1,319 ", 870 , 399 , 539 ," 2,338 "," 2,677 ", D , 60 , 132 ," 1,573 ", 857 , 942 , 450 , 990 , 194 , 345 ," 5,996 "," 3,931 "," 1,039 "," 3,977 ", 77 , 798 , 29 , 550 , 459 , 256 ," 3,563 ", 95 ," 7,455 "," 1,815 ", 479 ," 2,800 ", 435 , 462 ," 2,877 ", 8 , 624 , 207 , 273 , 920 ," 7,893 ", 86 , D , 251 , 84 ," 3,508 "," 2,117 ", 70 , 609 , 16 , 931 
Asia," 295,224 ", 758 , 474 ," 5,471 ", 811 ," 82,565 "," 2,876 "," 3,076 ", 642 , 328 ," 10,308 "," 6,289 ", 696 ," 3,011 ", 426 ," 9,347 "," 2,924 "," 1,278 "," 1,191 "," 1,815 "," 1,000 ", 423 ," 6,733 "," 7,192 "," 6,805 "," 3,425 ", 475 ," 1,960 ", 142 ," 1,113 "," 3,009 ", 741 ," 15,178 ", 591 ," 30,584 "," 4,943 ", 589 ," 5,578 "," 1,550 "," 2,468 "," 8,407 ", 44 , 459 , 973 , 416 ," 1,887 "," 27,390 ", 255 , 94 ," 1,014 ", 244 ," 10,037 "," 10,148 ", 226 ," 2,267 ", 66 ," 2,512 "
Europe," 77,084 ", 130 , 138 ," 1,296 ", 96 ," 12,821 "," 1,278 "," 2,127 ", 138 , 294 ," 8,091 "," 1,266 ", D , 243 , 232 ," 5,653 ", 501 , 223 , 171 , 365 , 186 , 175 ," 1,194 "," 3,471 "," 1,716 ", 566 , 63 , 576 , 111 , 118 , 708 , 347 ," 4,191 ", 167 ," 10,838 "," 1,288 ", 79 ," 1,181 ", 204 , 909 ," 2,550 ", 47 , 293 , 385 , 119 , 388 ," 3,496 ", 84 , D , 333 , 114 ," 1,603 "," 3,042 ", 66 , 709 , 43 , 651 
North America," 288,431 ", 454 , 154 ," 8,683 ", 970 ," 62,843 "," 2,641 "," 3,596 ", 510 , 469 ," 66,251 "," 4,651 ", D , 212 , 635 ," 5,117 "," 1,495 ", 727 ," 1,007 "," 1,694 ", 780 , 168 ," 4,376 "," 6,571 "," 1,771 "," 1,027 ", 271 , 926 , 107 , 792 ," 3,465 ", 396 ," 10,317 "," 1,606 "," 29,750 "," 3,791 ", 153 ," 1,223 "," 1,265 "," 2,212 "," 4,652 ", 789 ," 1,252 ", 670 , 128 ," 1,108 "," 33,668 ", 121 , 292 ," 1,472 ", 88 ," 3,513 "," 3,324 ", 86 ," 1,158 ", D ," 2,948 "
Oceania," 4,304 ", 6 , 40 , D , 5 ," 1,550 ", 119 , D , 5 , 14 , 169 , D , 8 , 125 , 19 , 72 , D , 14 , 13 , 23 , D , 10 , 51 , 72 , 53 , 43 , 6 , 42 , 18 , 8 , D , 7 , 68 , 10 , 263 , D , D , D , 24 , D , D , - , D , 15 , D , 37 , 218 , 6 , D , 157 , 7 , D , D , 5 , D , D , 69 
South America," 72,701 ", 111 , 36 , 618 , 88 ," 6,066 ", 586 ," 1,982 ", 114 , 178 ," 22,072 "," 1,538 ", 3 , 150 , 93 , 912 , 311 , 120 , 129 , 160 , 162 , 32 ," 1,442 "," 2,848 ", 327 , 362 , 59 , 235 , 49 , 74 , 376 , 213 ," 6,633 ", 87 ," 11,099 "," 1,273 ", D , 466 , 217 , 250 ," 1,151 ", 286 , 344 , 294 , D , 285 ," 4,353 ", 44 , 13 , 734 , 54 ," 2,006 ", 627 , 33 , 270 , 10 , 682 
Unknown, 108 , - , - , D , - , 16 , - , D , - , - , 6 , D , - , - , - , 10 , D , - , - , - , D , - , 5 , - , 5 , - , - , 3 , - , - , D , - , 3 , - , - , D , - , D , - , D , D , - , D , - , - , - , 7 , - , - , - , - , D , D , - , D , - , 35 
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
