Return to Table of Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"969,380","3,998","1,184","16,396","2,528","181,995","9,523","11,070","2,416","2,424","105,528","28,440",751,"4,397","2,545","32,519","8,330","4,097","3,758","6,380","3,246","1,240","22,657","27,008","16,077","13,491","1,086","4,872",349,"3,197","10,573","1,716","54,952","2,973","104,052","13,626",984,"15,867","4,242","9,799","26,747","1,470","3,014","4,789",651,"6,717","106,123",861,832,"4,787",706,"27,324","31,041",660,"6,125",298,"6,949"
Africa,"106,094",393,87,"1,577",162,"6,588","1,793",923,546,783,"2,571","4,821",D,95,356,"2,836","1,530","1,438",773,"1,728",228,365,"7,116","4,668","1,324","6,830",78,"1,019",21,797,676,281,"5,387",122,"8,516","2,052",391,"4,921",503,878,"4,400",D,681,379,218,"1,498","12,083",119,18,417,133,"5,032","3,907",91,968,26,942
Asia,"361,176","1,754",566,"4,923",921,"91,959","3,171","2,875",825,486,"11,258","10,779",723,"3,487",750,"13,454","3,916","1,309","1,405","2,324","1,404",417,"7,758","7,654","9,897","3,916",547,"2,025",120,"1,362","3,914",640,"18,962",771,"36,047","4,921",399,"7,468","1,789","3,674","11,358",50,432,"1,563",223,"2,634","37,999",359,342,"1,226",332,"13,461","15,279",298,"2,681",77,"2,292"
Europe,"92,242",421,201,"1,234",151,"14,086","1,224","1,894",209,381,"8,255","2,342",7,267,334,"7,381",552,328,184,432,215,172,"1,281","3,583","2,352",755,79,604,88,107,814,284,"5,883",178,"12,097","1,475",61,"1,374",255,"1,440","3,140",61,265,907,65,604,"5,123",80,12,395,101,"1,957","5,169",93,722,44,524
North America,"324,409","1,144",224,"8,107","1,179","61,656","2,740","3,501",686,522,"62,767","7,896",8,258,961,"7,533","2,001",897,"1,236","1,681","1,188",223,"4,975","8,268","2,080","1,475",326,963,83,868,"4,661",344,"15,571","1,800","33,518","4,025",110,"1,552","1,470","3,319","6,341","1,069","1,371","1,303",130,"1,594","44,340",217,423,"1,775",107,"4,470","5,203",125,"1,473",126,"2,526"
Oceania,"5,260",15,D,84,D,"1,957",D,37,5,14,181,69,8,160,27,102,20,16,D,20,D,13,D,D,50,D,D,36,7,D,D,10,90,13,297,50,D,39,D,D,62,D,3,D,D,D,304,12,24,D,7,86,D,3,24,4,37
South America,"79,982",264,58,471,101,"5,724",487,"1,840",145,238,"20,482","2,529",D,130,117,"1,196",308,106,142,195,198,50,"1,485","2,748",370,480,51,220,30,57,431,157,"9,049",89,"13,572","1,100",D,506,206,356,"1,437",283,262,595,D,343,"6,251",74,D,757,26,"2,309",998,50,257,21,584
Unknown,217,7,D,0,D,25,D,0,0,0,14,4,0,0,0,17,3,3,D,0,D,0,D,D,4,D,D,5,0,D,D,0,10,0,5,3,0,7,D,D,9,0,0,D,0,D,23,0,D,D,0,9,D,0,0,0,44
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"969,380","3,998","1,184","16,396","2,528","181,995","9,523","11,070","2,416","2,424","105,528","28,440",751,"4,397","2,545","32,519","8,330","4,097","3,758","6,380","3,246","1,240","22,657","27,008","16,077","13,491","1,086","4,872",349,"3,197","10,573","1,716","54,952","2,973","104,052","13,626",984,"15,867","4,242","9,799","26,747","1,470","3,014","4,789",651,"6,717","106,123",861,832,"4,787",706,"27,324","31,041",660,"6,125",298,"6,949"
Afghanistan,"11,076",4,0,175,3,"4,366",209,80,8,15,93,209,0,0,68,140,18,18,15,47,6,20,300,89,101,25,D,78,D,78,60,5,107,68,436,112,14,148,6,101,124,D,4,7,4,58,"1,155",D,D,61,D,"1,803",457,0,30,0,142
Albania,"4,607",D,D,35,3,84,4,219,7,7,460,27,0,D,D,229,10,0,3,4,0,D,25,552,614,8,0,36,0,0,16,13,340,0,"1,063",22,D,108,5,10,322,0,4,13,0,6,134,0,0,4,D,62,40,0,78,0,28
